Artist,YoutubeChannel,Keep
naqqa,https://www.youtube.com/channel/UCyGtqW7TfOToaMY0A8GnXyA,1
zomra,https://www.youtube.com/channel/UCVnoVCYHZqTjaQGPE5wUi7Q,1
ABSY gam7,https://www.youtube.com/channel/UCvhIothkBGEpDfgZdxvWc6g,1
wmd,https://www.youtube.com/channel/UCGeO-C6bauO14dXBqTvjvow,1
empire,https://www.youtube.com/channel/UC982yfxBCeh5WI9GRRlciww,1
redstar radi,https://www.youtube.com/channel/UCpNEN5-7gzhUpapA3ob2ZqQ,1
gga,https://www.youtube.com/channel/UCEaQBiiuwbn_UG64vCq04dA,1
redstar,https://www.youtube.com/channel/UC4m5L8brApVSVe_AoD_Lw4w,1
hamzaoui med amine,,0
klay bbj,https://www.youtube.com/channel/UCI6ER2eyvJ098z_qrHZiZdA,1
kafon,https://www.youtube.com/channel/UCIY5O-yLf1sNyQ0AKXXQMjQ,1
averyro,https://www.youtube.com/channel/UCWphVpAsuxyZLw-u9b5A3Gg,1
big gueb,https://www.youtube.com/channel/UCazHJzTt_k5rFQhRUhVltfw,1
kepler,https://www.youtube.com/channel/UChAeSOxeZ6u5Ytu24qyVifg,1
castro,https://www.youtube.com/channel/UCTPID7oLcNr0H-VhAVIO8Jw,1
ZZH.5,https://www.youtube.com/channel/UCe0xXnhj3GC8xL6JWAyUvcQ,1
Ala,https://www.youtube.com/channel/UCldUc3lPRbibHFOomDrypXA,1
Kaso,https://www.youtube.com/channel/UCqz855ARgHtme-TxvHYQnCg,1
Emino,https://www.youtube.com/channel/UCY2PDdr1Tvwy08z7zZrXFEw,1
4lpha,https://www.youtube.com/channel/UCyspqvfIMfwofk2MpBK9PEg,1
blackhoodie gang,https://www.youtube.com/channel/UCkFyp-PzwLEcZHLCkSChhAA,1
psycho M,https://www.youtube.com/channel/UCurh7wfKwEBS5-iG8bdtZdw,1
Weld el 15,https://www.youtube.com/channel/UCkdnepnM_GMp6v7qn7TgWjg,1
Balti,https://www.youtube.com/channel/UCV9x1Bo83ByXbqJga1ZxaJg,1
Armasta,https://www.youtube.com/channel/UCe5CNewjPQU0DMWvvJtIkLg,1
Jenjoon,https://www.youtube.com/channel/UC_SEdVk8EOw7COe9lfWThyg,1
NastyShit,https://www.youtube.com/channel/UCVaWi8F2WIuV9Qk8ckvvlKg,1
Dr.Guech,https://www.youtube.com/channel/UCBZfupqYIzD6JG_YvNSjyNw,1
Anarchnowa------,https://www.youtube.com/channel/UCc_3n2IBUBmKWTxxSuKqzOg,1
RATCHOPPER--------,,0
Feddini-------,,0
La3fif ya 7aj------,,0
Gal3y------,,0
Stxev Abdiov------,,0
Mehdi Machfer------,,0
Ktyb,https://www.youtube.com/channel/UCnBeOXkvCydq1dY2XAOJ5nw,1
Blingos,https://www.youtube.com/channel/UC6K6tV_ZH2QIguPWitnKilQ,1
Stou,https://www.youtube.com/channel/UCevzdl0zA0PecmG504ZMDLQ,1
Vipa,https://www.youtube.com/channel/UCITCUMkLmgQF0IkW2DH2G4A,1
Karkadan,https://www.youtube.com/channel/UCtw9E8TBgwtCakerE6znmLA,1
Debo,https://www.youtube.com/channel/UCEtngIDFhOu_vDAOO_VE7oA,1
Tiga,,0
Beb el beat,https://www.youtube.com/channel/UCRGqzjgmyGbq-PuTx7HuZ0w,1
sanfara,https://www.youtube.com/channel/UCyB6xP6_c6ZCqC2b4wYAsLw,1
samara,https://www.youtube.com/channel/UCEonTFGPeAX7fmq28pfs6Vg,1
dhalma,https://www.youtube.com/channel/UCSwAus6YT0gN0fkVQVUxA7w,1
zoofree,,0
Kosmos,https://www.youtube.com/channel/UCTRLkMXNkQkaE3WC6t2YQiQ,1
MASSI,https://www.youtube.com/channel/UCZU7n0a6RqW-N9Ewu7wBfrQ,1
Bendirman,,0
Zigui,,0
Nordo,https://www.youtube.com/channel/UCIXt6QfV1V6fPmw7VGddWpg,1
Si lemhaf,https://www.youtube.com/channel/UCopbT_7oA_0tN3iFwz2f-eg,1
Dabl De,https://www.youtube.com/channel/UCKR9nGoNKsoYLOsjY1uzYOw,1
Blavck T,https://www.youtube.com/channel/UCpmZV6gKNIr87cgLgAANiLA,1
2two,https://www.youtube.com/channel/UC7S97iruRzmdXHARY6iXqDQ,1
sankamo,https://www.youtube.com/channel/UC2YPprsdOzkMtXhcpW0FRiw,1
Djappa Man,https://www.youtube.com/channel/UCkBcDD0UHGPcMuyMgcreWEA,1
Blidog,https://www.youtube.com/channel/UC9jYRl7lo_ljilN_duj_K-g,1
baroudi,https://www.youtube.com/channel/UCjvYARNdMedhwbbbDPhisQw,1
Young RZ,https://www.youtube.com/channel/UC07OXjeAKhswIPEnoDj8qRQ,1
Mrag,,0
Shvdy,https://www.youtube.com/channel/UCvxPL2zGmOn3eUbAXrb-AKQ,1
ta9chira,https://www.youtube.com/channel/UCkZWIhX-tITOJF5khWI2TZg,1
esserpent,https://www.youtube.com/channel/UC9MM5kyom9q_bgwgIG72aig,1
laya,https://www.youtube.com/channel/UC6kkMADNvpJtJECSDB4TCeg,1
badboy 7low,https://www.youtube.com/channel/UCV_gMUa4ilt_kKg2DIpMDCA,1
Mizo H,https://www.youtube.com/channel/UC1jkBRpKnhXz3qkoAufXbvw,1
El katiba,https://www.youtube.com/channel/UCtYq6dOB2GPBwhiWsD9q7hw,1
CapSchool,https://www.youtube.com/channel/UCA_u04GPHCwM6u5Jopcu28Q,1
DJ Costa,https://www.youtube.com/channel/UCEKeRRzxH5EAG03m589Rijg,1
Dekka,https://www.youtube.com/channel/UCVguPg8lF2exSBPRdhQ7tpw,1
Faylasuf,,0
Tchiggy,https://www.youtube.com/channel/UC9UsgrZ4aYTysYpL_g3OuyA,1
Gati,https://www.youtube.com/channel/UC8KDP8vo6Wylmj_JQLuuaSQ,1
FIN,,0
Kooki,https://www.youtube.com/channel/UClnkt8rGbtqf_3KbnluxHLw,1
K2Rym,https://www.youtube.com/channel/UCc6qDHC_oOnqQr5JTP9FTxA,1
ghali,https://www.youtube.com/channel/UCY5rq0soTIK6hPbn8kejgMg,1
TRIPPY BOYZ,https://www.youtube.com/channel/UCgK3yc2PEkImNxHDwVKYWQg,1
NVST,https://www.youtube.com/channel/UC9MG8eV0D2qlScC3h3Ly0qQ,1
NAMIRO,https://www.youtube.com/channel/UC2oLssIo1RFkJ9LUXa5DWrg,1
DOPEMAN,https://www.youtube.com/channel/UCKVJqSujqqfASGDSkkFxdKQ,1
El General,https://www.youtube.com/channel/UCXD_aLESaq40q08oX42ln1A,1
---Lullysnake,https://www.youtube.com/channel/UCcJ4CVPRHOhnPnYBE2iECNg,1
---Maram,,0
---BAYA,,0
---FBK,https://www.youtube.com/channel/UC_F1K5Wfa6tD_0nRo0YaWog,1
---Medusa,https://www.youtube.com/channel/UC94DkUEOtC2i7FlbsxYA51g,1
---KOAST,https://www.youtube.com/channel/UCqDcosVbsAKSfNOlaZkL-kQ,1
---ALTAF,https://www.youtube.com/channel/UCyRm8YoM_EkTacM_op9mECA,1
Brotherhood family,https://www.youtube.com/channel/UCcfpjKV2nKbT4IgdL4IYC0Q,1
Azi,https://www.youtube.com/channel/UCqPWWqiaYhCaCCn_RgqQ03Q,1
toxic club,https://www.youtube.com/channel/UCWz4vc4WsDpTcRLYpF0vMOg,1
Samach,https://www.youtube.com/channel/UCxjGLNganFGMfdCwa53O5zQ,1
Space,https://www.youtube.com/channel/UCZ0YtLAC8H_jzj_7DlUolRA,1
sbour,https://www.youtube.com/channel/UC4Nn3iS9gksES13WsOqxGqw,1
RamsJamsss,https://www.youtube.com/channel/UCUOiDg39oLjes0L1WPXTftw,1
SAFFWIZZ,https://www.youtube.com/channel/UC2D5xG57ZYaYZVlI5a1VRDQ,1
Kahlanzi,https://www.youtube.com/channel/UC2ONX3Afp9jXlX-5sUcPBtg,1
dhaf,https://www.youtube.com/channel/UCrUz8QBasH38qFretsLzTpw,1
Bush KP,https://www.youtube.com/channel/UCHbtOA4Yi1_Lv0zD0mEkfQg,0
TNM,https://www.youtube.com/channel/UCola9KL-bfQrrOGfLXlSEOw,1
Numbxiller,https://www.youtube.com/channel/UCZU5ofyBsEmVuKYrijLFxrg,1
Junior Hassen,https://www.youtube.com/channel/UCWy8EL_FMdYyZSU52VfCSYA,1
Phénix bbj,https://www.youtube.com/channel/UC78GKh9eUN64MgfpFiKpACQ,1
H W B,https://www.youtube.com/channel/UCiORu8PIw88L4Zqf5CpJv0A,1
Scara KO,https://www.youtube.com/channel/UCVQQ4Nhp7MJdEwzbqcIx1uA,1
D-BOY,https://www.youtube.com/channel/UCsMBRAIsyF12BbmyLBvnqjw,1
Mouka,https://www.youtube.com/channel/UCgvLPnUn2PfKsdbqGVZAMPw,1
K2,https://www.youtube.com/channel/UC77A-Kx4ahqeyOrULRLQK2A,1
KLIFOFFICIEL,https://www.youtube.com/channel/UCs_u06fuiDleI0K3RPFVszg,1
FallegMan,https://www.youtube.com/channel/UCgiE51zm6lRZ-GHAbE5LKOw,1